,0
378,"#paz, #saudemental, #BBB21, #ProvaDoLider"
379,"#vida, #saudemental, #amor, #familia, #felicidades, #alegria"
380,"#saudemental, #escolaocupamuitotempo, #eutenhoqueestudarmasnaoaconselho"
381,"#sonhoestranhos, #pandemia, #covid, #saudemental"
382,"#pandemia, #issoéluxo, #covid, #corona, #coronavirus, #saudemental"
383,"#BBB21, #saudemental"
384,"#saudemental, #rizoma"
385,"#bbtvi, #bbdi, #saudemental, #ouveoteuinterior"
386,"#saudemental, #psicanalise, #freud"
387,"#Psicanálise, #atendimentosocial, #atendimentopsicologico, #clinicasp, #saudemental, #escuta, #analisesclinicas, #Análise"
388,"#Paz, #saudemental, #amizadeétudo, #humor"
389,"#saúdemental, #ForaBolsonaroGenocida, #BBBB21"
390,"#SaudeMental, #psicoterapia"
391,"#podcast, #SaudeMental, #aosvinteetantos"
392,"#ficajoanabeta, #vergonhatvi, #bbtvi, #SaudeMental"
393,"#janeirobranco, #setembroamarelo, #BBB21, #SaudeMental"
394,"#SaudeMental, #BillMereceRespeito, #billbbb21, #ForaBil"
395,"#bbb21, #bbb2021, #saudemental"
396,"#KAROL, #bbb21, #saudemental, #abuso, #mulheres"
397,"#BBBB21, #SaudeMental, #abusopsicologico"
398,"#SaudeMental, #bbb21"
399,"#karolconka, #SaudeMental, #Arcrebiano, #LucasPenteado, #Juliette"
400,"#bbb21, #BoninhoFazAlgumaCoisa, #saúdemental, #respeito"
401,"#BBB21, #Boninho, #SaúdeMental, #Policia"
402,"#saudemental, #BBB21, #RedeBBB, #bbbaovivo"
403,"#saudademae, #SaudeMental"
404,"#psicologia, #saudemental, #saudeemocional, #amorproprio, #autoestima, #autoconhecimento, #autoaceitacao, #autoestimaelevada, #amorpróprio, #autocompaixão, #saúdemental, #psicologoonline, #terapiaonline"
405,"#terapia, #saudemental, #amor, #autoconhecimento, #vida, #amorproprio, #autoestima, #ansiedade, #coach, #saude, #gratidão, #paz, #bemestar, #frases, #façaterapia, #psi, #BBB2021, #brasil, #psicologa, #felicidade, #psicanalise, #foco, #coaching, #deus, #amar"
406,"#saudemental, #panico, #ansiedade"
407,"#saudemental, #psicologico"
408,"#BBB21, #cienciadoperdao, #semansiedade, #maisrespeito, #saudemental, #saudeemocional"
409,"#saudemental, #BBBB21, #LucasPenteado, #sejaforte"
410,"#LucasPenteado, #saudemental, #terapia, #psicologo"
411,"#RedeBBB, #REDEBBB21, #Psicologia, #saude, #saudemental, #BigBrotherBrasil, #REDEBBB21, #violencia"
412,"#bbb, #saudemental"
413,"#bbb21, #gatilho, #saudemental"
414,"#psicologia, #saudemental, #BBBB21, #RedeBBB"
415,"#Saudemental, #setembroamarelo, #janeirobranco, #transtornoboderline, #paz, #pas"
416,"#saudemental, #bbb21"
417,"#bbb, #saúdemental"
418,"#BBB221, #autoconhecimento, #saudemental"
419,"#saudemental, #CANCELAMENTO, #BBB21, #reflexao"
420,"#BBB21, #Lumena, #Psicologia, #psicologiaécoisaseria, #saudemental"
421,"#saúdemental, #BBB21"
422,"#bbb21, #BBB21, #BBBB21, #sus, #SUS, #saudemental, #BBB2021, #bbb221, #saude"
