,date,tweet,hashtags
136,2021-03-02,Acabei de ver o filme novo da Netflix #EuMeimporto e eu ameiiiii ASSISTAM,#EuMeimporto
137,2021-03-02,#EuMeimporto esse filme é uma bosta,#EuMeimporto
138,2021-03-02,"• Juro que esperava mais de #EuMeimporto! O enredo vai crescendo até o metade do filme, voce cria uma enorme pra ir morrendo aos poucos!",#EuMeimporto
139,2021-03-02,Que filme foda esse #EuMeimporto  da #NETFLIX,"#EuMeimporto, #NETFLIX"
140,2021-03-02,Queee filme bommm  #EuMeimporto,#EuMeimporto
142,2021-03-02,estou mto impactada c a beleza da eiza gonzález ela é mto linda cara n assisti a série um drink no inferno (o filme sim) mas se ela interpreta  papel semelhante ao da salma hayek escolheram certíssimo  #EuMeimporto #umdrinknoinferno,"#EuMeimporto, #umdrinknoinferno"
143,2021-03-02,"Ontem assisti #eumeimporto, na @NetflixBrasil e, sem dar spoilers, o final foi de lavar a alma. Vontade de fazer o mesmo com um monte de gente, mesmo sendo aprisionado depois.",#eumeimporto
144,2021-03-02,"Que filmaço vimos ontem, hein. Te falar! 👌🏼  @andradethamara  #EuMeimporto",#EuMeimporto
145,2021-03-02,Comecei assistir #EuMeimporto,#EuMeimporto
146,2021-03-02,"O filme #EuMeimporto é uma mistura de sensações,  no início eu torcia contra a protagonista,  no meio teve a aceitação e no fim eu queria que ela se desse bem kkkkk foda🙃",#EuMeimporto
147,2021-03-01,"Que filmão é esse #EuMeimporto viu, pqp",#EuMeimporto
148,2021-03-01,Rosamund Pike consegue ser mais capeta em #EuMeImporto que em #GarotaExemplar. Eu amo sentir ódio dela!,"#EuMeImporto, #GarotaExemplar"
149,2021-03-01,"Assisti #EuMeimporto que filme massa, vale a pena ver.",#EuMeimporto
150,2021-03-01,"eu amei o final de #EuMeimporto ela merecia morrer mesmo, foi tarde puta",#EuMeimporto
151,2021-03-01,"Acabei de assistir o filme da Netflix #EuMeimporto e estou chocada com o enredo, eu não esperava nada disso! Eu pensei q era uma comédia bestinha com uma velhinha. C H O C A D A!!!!!!",#EuMeimporto
153,2021-03-01,"mentira, eu tbm assisti #Bigmouth que sempre me mata de rir, fiquei putassa com #EuMeimporto de dona @NetflixBrasil e ouvi os últimos eps de Santíssima Trindade das Perucas","#Bigmouth, #EuMeimporto"
154,2021-03-01,@NetflixBrasil Parabéns pelo primeiro filme decente de suspense! #EuMeimporto,#EuMeimporto
156,2021-03-01,"Assisti o filme EU ME IMPORTO, e sinceramente o roteirista se perdeu no filme, quem mata quem, quem vence quem, porque o final foi totalmente desnecessário e ainda mais com uma morte tão escrota e não esperada.  Não queria que MARLAN MORRESSE!  #EuMeimporto #Netflix","#EuMeimporto, #Netflix"
157,2021-03-01,"Passando pra dizer, que eu tô apaixonado pelo filme e músicas.   #EuMeImporto",#EuMeImporto
158,2021-03-01,Eu torci tanto pra ela se fuder e n esperava o final INFEEEERNOOOO #EuMeImporto,#EuMeImporto
160,2021-03-01,só da esse filme no tt #EuMeimporto,#EuMeimporto
161,2021-03-01,"Que filme do crlh, gente assistam!!! #EuMeimporto",#EuMeimporto
162,2021-03-01,"Por tudo que é mais sagrado, se vocês tiverem tempo, vão assistir “Eu me importo” (I care a lot) na Netflix! Eu tô aqui mega impactado 😂😍 #ICareALotNetflix #EuMeimporto","#ICareALotNetflix, #EuMeimporto"
163,2021-03-01,#EuMeImporto filme bosta feito com bastante recurso #ICareALot,"#EuMeImporto, #ICareALot"
164,2021-03-01,Rapaz @calrachel_ me indicou um filme e só digo uma parada ainda bem que o final foi justo. Apesar da vida não ser kkkkkkkkkkk #eumeimporto #Netflix @NetflixBrasil,"#eumeimporto, #Netflix"
165,2021-03-01,ENTÃO VOCÊ É UMA LEOA OU UM CORDEIRO?? #EuMeimporto,#EuMeimporto
169,2021-02-28,"Que filme babado, a Netflix acertou em cheio. #EuMeImporto",#EuMeImporto
170,2021-02-28,"@gessicakayane Eu amei tbm, super recomendoa. Eu assistir hj pela manhã. #EuMeimporto",#EuMeimporto
171,2021-02-28,Mdss oq tem de errado comigo? Eu não consigo sentir raiva dela kkkkkkk🥲❤️Pqp o pior é q eu gostei muito do filmeeee!#EuMeimporto,#EuMeimporto
172,2021-02-28,@NetflixBrasil Na moral nós últimos 3 min.  Do filme #EuMeimporto  me surpreendeu porém o filme pra deixar a gente com raiva.,#EuMeimporto
173,2021-02-28,Vou terminar de assistir #EuMeimporto,#EuMeimporto
