,date,tweet,hashtags
490,2019-10-26,O texto de #SessãoDeTerapia é simplesmente perfeito,#SessãoDeTerapia
491,2019-10-25,"O meu Psicanalista segue a linha do Lacan, a mesma abordagem da série #SessãoDeTerapia",#SessãoDeTerapia
493,2019-10-24,Ainda não acabei #SessãodeTerapia mas vejo muitos parelelos entre Breno e Nando,#SessãodeTerapia
496,2019-10-23,Pelo menos: 1- sou privilegiada sim e tenho o ferro de passar da @polishop  2- passarei a roupa assistindo #SessaodeTerapia,#SessaodeTerapia
497,2019-10-21,sessão de terapia é mto bom! Eu me enxergo nos pacientes e percebo como sou doida. #glopoplay #sessaodeterapia #gnt,"#glopoplay, #sessaodeterapia, #gnt"
498,2019-10-20,Eu queria na minha vida um terapeuta igual ao #Caio (#SeltonMelo) do #SessãodeTerapia.,"#Caio, #SeltonMelo, #SessãodeTerapia"
503,2019-10-18,"Que lindo Haidée Ortiz, que lindaaaa. Viva as mulheres em terapia. #sessãodeterapia",#sessãodeterapia
507,2019-10-17,"""essa coisa de crescer, machuca. Não existe crescimento sem dor"". #SessãoDeTerapia #GNT #SeltonMello","#SessãoDeTerapia, #GNT, #SeltonMello"
511,2019-10-17,@p4nsucker Será ela a mulher que mexe com seus segredos que nem você sabe? 🤔📝😏🃏 #sessaodeterapia,#sessaodeterapia
512,2019-10-16,"Hoje a sessão de terapia foi tão intensa... dói falar, dói lembrar, contudo só assim para se libertar desse lugar. O choro da alma é mais comovente do que as lágrimas. #SessãoDeTerapia #psicanálise #alma","#SessãoDeTerapia, #psicanálise, #alma"
514,2019-10-16,Pqp muito fodaaaa!! Acabei de assistir a cena de Téo e Caio. 2 monstros.. Salvou minha lacuna existencial. Obrigada Selton Mello #SessaodeTerapia,#SessaodeTerapia
517,2019-10-15,"👩🏼 Chiara: ""Terapia é um troço bonito, ne? Troço bonito... Que quando você acha que resolveu coisas, aparecem outras!"" 👨🏻 Caio: ""Essa é a vida, ne?!"" #SessãodeTerapia mexendo lá no fundo... Parabéns @fabiunascimento e #SeltonMello pela excelência nesse trabalho! ✨","#SessãodeTerapia, #SeltonMello"
519,2019-10-15,E eu que terminei de ver os episódios da Chiara em #Sessãodeterapia e comecei a chorar compulsivamente. Sério... Que coisa louca se identificar com personagem. Credo,#Sessãodeterapia
520,2019-10-15,“ É uma responsabilidade muito grande escutar o outro. A demanda de todo paciente é ser feliz” #sessãodeterapia,#sessãodeterapia
521,2019-10-13,""" A vida é muito curta. Vai viver meu filho"" - Haidée para Caio #SessaoDeTerapia",#SessaoDeTerapia
527,2019-10-13,Rapaz....assinei a @globoplay e vou dizer é o ouro!!! 👏👏🔝🔝 Assinei porque sou fã do #SessaodeTerapia e tem muito mais!!! Galera da #PlimPlim parabéns 🔝🔝👏👏,"#SessaodeTerapia, #PlimPlim"
535,2019-10-12,vendo #SessãodeTerapia e só tomando uns tapão na cara,#SessãodeTerapia
536,2019-10-12,"#SessaodeTerapia , que série boa. A delicadeza e a grandeza das atuações desses talentosos atores me emociona demais. Grande Selton Mello. Fantástico ator e diretor!",#SessaodeTerapia
557,2019-10-12,"Se terapia for isso mesmo, nunca vou fazer. É muito difícil. .. dolorido. #sessaodeterapia",#sessaodeterapia
567,2019-10-11,"Genty, o que é esse Selton Mello (Caio) como terapeuta 😍 Transferência aqui rolava fácil 🌚🌚🌚 #SessãoDeTerapia #SeltonMello","#SessãoDeTerapia, #SeltonMello"
568,2019-10-11,Sem palavras pra descrever a emoção que está série despertou em mim... E as várias reflexões também... Avema!!! #SessãoDeTerapia,#SessãoDeTerapia
570,2019-10-10,Eu tô amaaaaaaando #SessaodeTerapia AAAAAAA,#SessaodeTerapia
571,2019-10-10,"ontem comecei a terapia e me senti a Chiara @fabiunascimento: cheguei feliz sorridente, depois cruzei as pernas no sofá, depois já tava deitando a cabeça pra trás e no final nem sabia mais o que tava rolando eu só tava falando sem parar...   #sessãodeterapia @globoplay",#sessãodeterapia
573,2019-10-09,quero entrar na fila das pessoas que querem dar um abraço na dona Haidée &lt;3 #SessãoDeTerapia,#SessãoDeTerapia
574,2019-10-09,"Praticamente não lembro do corte, só da minha risada na hora que vi isso! #SessaoDeTerapia",#SessaoDeTerapia
575,2019-10-08,"Pra quem não pode ver na hora nem tem Globo play como assiste #SegundaChamada,  #SobPressão e #SessaoDeTerapia ?? Foda que até pra piratiar é difícil porque é sempre um parto achar torrent de produções nacionais.","#SegundaChamada, #SobPressão, #SessaoDeTerapia"
576,2019-10-08,"Pagando pau p séries da netflix pagando pau demais p #sessãodeterapia da @globoplay (essa carniça), #SegundaChamada e tuitando","#sessãodeterapia, #SegundaChamada"
